,Artista,Prêmios,Indicações,Departamento
0,"
Walt Disney
","
22
","
59
",Produtor
1,"
Alfred Newman
","
9
","
45
",Compositor
2,"
Edith Head
","
8
","
35
",Figurinista
3,"
Alan Menken
","
8
","
19
",Compositor
4,"
Fred Quimby
","
8
","
17
","Produtor, Cartunista"
5,"
Gary Rydstrom
","
7
","
17
",Designer de Som
6,"
Rick Baker
","
7
","
9
",Maquiador
7,"
Billy Wilder
","
6
","
21
","Produtor, diretor e roteirista"
8,"
Dennis Muren
","
6
","
15
",Artista de efeitos visuais
9,"
John Williams
","
5
","
50
",Compositor
10,"
Lyle R. Wheeler
","
5
","
22
",Diretor de Arte
11,"
Francis Ford Coppola
","
5
","
14
","Produtor, diretor e roteirista"
12,"
Johnny Green
","
5
","
13
",Compositor
13,"
John Barry
","
5
","
7
",Compositor
