"Artista","Prêmios","Indicações","Departamento"
"\nWalt Disney\n","\n22\n","\n59\n","Produtor"
"\nAlfred Newman\n","\n9\n","\n45\n","Compositor"
"\nEdith Head\n","\n8\n","\n35\n","Figurinista"
"\nAlan Menken\n","\n8\n","\n19\n","Compositor"
"\nFred Quimby\n","\n8\n","\n17\n","Produtor, Cartunista"
"\nGary Rydstrom\n","\n7\n","\n17\n","Designer de Som"
"\nRick Baker\n","\n7\n","\n9\n","Maquiador"
"\nBilly Wilder\n","\n6\n","\n21\n","Produtor, diretor e roteirista"
"\nDennis Muren\n","\n6\n","\n15\n","Artista de efeitos visuais"
"\nJohn Williams\n","\n5\n","\n50\n","Compositor"
"\nLyle R. Wheeler\n","\n5\n","\n22\n","Diretor de Arte"
"\nFrancis Ford Coppola\n","\n5\n","\n14\n","Produtor, diretor e roteirista"
"\nJohnny Green\n","\n5\n","\n13\n","Compositor"
"\nJohn Barry\n","\n5\n","\n7\n","Compositor"
